Compound_Name,Pubchem_CID,Smiles,Mol_weight (dalton),molecular formula,H_Bond_Donors,H_Bond_Acceptor,LogP (XLogP3-AA
(-)-Epicatechin,72276,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.27 g/mol,C15H14O6,5,6,0.4
Decursin,442126,CC(=CC(=O)O[C@H]1CC2=C(C=C3C(=C2)C=CC(=O)O3)OC1(C)C)C,328.4 g/mol,C19H20O5,0,5,3.9
Sunitinib,5329102,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,398.5 g/mol,C22H27FN4O2,3,4,2.6
Tanshinone,114917,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C4=C3OC=C4C,276.3 g/mol,C18H12O3,0,3,3.7
apigenin,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,270.24 g/mol,C15H10O5,3,5,1.7
axitinib,6450551,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,386.5 g/mol,C22H18N4OS,2,4,4.2
diosmetin,5281612,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,300.26 g/mol,C16H12O6,3,6,1.7
gallic acid,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,170.12 g/mol,C7H6O5,4,5,0.7
isoliquiritigenin,638278,C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O,256.25 g/mol,C15H12O4,3,4,3.2
luteolin,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.24 g/mol,C15H10O6,4,6,1.4
quercetin,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.23 g/mol,C15H10O7,5,7,1.5
rosmarinic acid,5281792,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,360.3 g/mol,C18H16O8,5,8,2.4
turmerone,14367555,CC1=CCC(=CC1)[C@@H](C)CC(=O)C=C(C)C,218.33 g/mol,C15H22O,0,1,3.3
